annotator_id,pair_id,seed_id,model_left,model_right,winner,voted_at
juyoung,seed_00027__glm-5.1__vs__nemotron-nano,seed_00027,glm-5.1,nemotron-nano,right,2026-04-21T13:16:59+00:00
juyoung,seed_00012__glm-5.1__vs__nemotron-nano,seed_00012,glm-5.1,nemotron-nano,left,2026-04-21T13:17:13+00:00
juyoung,seed_00031__gpt-5.4__vs__nemotron-super,seed_00031,nemotron-super,gpt-5.4,left,2026-04-21T13:17:22+00:00
juyoung,seed_00012__glm-5.1__vs__gpt-5.4,seed_00012,gpt-5.4,glm-5.1,right,2026-04-21T13:17:27+00:00
juyoung,seed_00027__glm-5.1__vs__nemotron-super,seed_00027,glm-5.1,nemotron-super,right,2026-04-21T13:17:37+00:00
wonsuk_homunculus,seed_00006__gpt-5.4__vs__nemotron-nano,seed_00006,nemotron-nano,gpt-5.4,left,2026-04-21T13:17:51+00:00
juyoung,seed_00022__glm-5.1__vs__nemotron-nano,seed_00022,glm-5.1,nemotron-nano,left,2026-04-21T13:17:55+00:00
wonsuk_homunculus,seed_00007__gpt-5.4__vs__nemotron-nano,seed_00007,nemotron-nano,gpt-5.4,right,2026-04-21T13:18:08+00:00
juyoung,seed_00033__glm-5.1__vs__gpt-5.4,seed_00033,gpt-5.4,glm-5.1,left,2026-04-21T13:18:49+00:00
juyoung,seed_00008__gpt-5.4__vs__nemotron-nano,seed_00008,gpt-5.4,nemotron-nano,left,2026-04-21T13:19:02+00:00
wonsuk,seed_00000__glm-5.1__vs__nemotron-nano,seed_00000,nemotron-nano,glm-5.1,right,2026-04-21T13:19:05+00:00
wonsuk,seed_00025__glm-5.1__vs__nemotron-super,seed_00025,glm-5.1,nemotron-super,right,2026-04-21T13:19:08+00:00
wonsuk,seed_00034__glm-5.1__vs__nemotron-super,seed_00034,glm-5.1,nemotron-super,right,2026-04-21T13:19:10+00:00
wonsuk,seed_00027__gpt-5.4__vs__nemotron-nano,seed_00027,nemotron-nano,gpt-5.4,right,2026-04-21T13:19:17+00:00
wonsuk_homunculus,seed_00009__glm-5.1__vs__nemotron-super,seed_00009,glm-5.1,nemotron-super,left,2026-04-21T13:19:17+00:00
wonsuk,seed_00025__glm-5.1__vs__nemotron-nano,seed_00025,glm-5.1,nemotron-nano,tie,2026-04-21T13:19:23+00:00
juyoung,seed_00006__gpt-5.4__vs__nemotron-super,seed_00006,nemotron-super,gpt-5.4,left,2026-04-21T13:19:27+00:00
wonsuk,seed_00034__glm-5.1__vs__nemotron-nano,seed_00034,glm-5.1,nemotron-nano,right,2026-04-21T13:19:28+00:00
juyoung,seed_00031__glm-5.1__vs__nemotron-super,seed_00031,nemotron-super,glm-5.1,left,2026-04-21T13:19:31+00:00
Hongjoon,seed_00022__glm-5.1__vs__nemotron-super,seed_00022,glm-5.1,nemotron-super,right,2026-04-21T13:19:36+00:00
wonsuk,seed_00008__gpt-5.4__vs__nemotron-super,seed_00008,nemotron-super,gpt-5.4,left,2026-04-21T13:19:37+00:00
juyoung,seed_00027__glm-5.1__vs__gpt-5.4,seed_00027,glm-5.1,gpt-5.4,right,2026-04-21T13:19:37+00:00
Hongjoon,seed_00029__glm-5.1__vs__nemotron-super,seed_00029,glm-5.1,nemotron-super,right,2026-04-21T13:19:39+00:00
wonsuk_homunculus,seed_00012__glm-5.1__vs__nemotron-super,seed_00012,nemotron-super,glm-5.1,right,2026-04-21T13:19:40+00:00
wonsuk,seed_00029__glm-5.1__vs__nemotron-nano,seed_00029,glm-5.1,nemotron-nano,tie,2026-04-21T13:19:43+00:00
wonsuk_homunculus,seed_00034__glm-5.1__vs__gpt-5.4,seed_00034,glm-5.1,gpt-5.4,right,2026-04-21T13:19:45+00:00
Hongjoon,seed_00029__gpt-5.4__vs__nemotron-super,seed_00029,gpt-5.4,nemotron-super,right,2026-04-21T13:19:46+00:00
juyoung,seed_00000__gpt-5.4__vs__nemotron-super,seed_00000,gpt-5.4,nemotron-super,right,2026-04-21T13:19:52+00:00
wonsuk,seed_00033__glm-5.1__vs__nemotron-nano,seed_00033,nemotron-nano,glm-5.1,right,2026-04-21T13:19:53+00:00
juyoung,seed_00008__nemotron-nano__vs__nemotron-super,seed_00008,nemotron-super,nemotron-nano,left,2026-04-21T13:19:55+00:00
juyoung,seed_00031__glm-5.1__vs__gpt-5.4,seed_00031,gpt-5.4,glm-5.1,left,2026-04-21T13:19:57+00:00
Hongjoon,seed_00025__gpt-5.4__vs__nemotron-super,seed_00025,gpt-5.4,nemotron-super,left,2026-04-21T13:19:59+00:00
wonsuk,seed_00013__nemotron-nano__vs__nemotron-super,seed_00013,nemotron-nano,nemotron-super,left,2026-04-21T13:20:00+00:00
juyoung,seed_00012__gpt-5.4__vs__nemotron-super,seed_00012,gpt-5.4,nemotron-super,left,2026-04-21T13:20:05+00:00
Hongjoon,seed_00022__gpt-5.4__vs__nemotron-super,seed_00022,nemotron-super,gpt-5.4,left,2026-04-21T13:20:08+00:00
wonsuk,seed_00021__glm-5.1__vs__gpt-5.4,seed_00021,gpt-5.4,glm-5.1,right,2026-04-21T13:20:11+00:00
Hongjoon,seed_00033__gpt-5.4__vs__nemotron-super,seed_00033,gpt-5.4,nemotron-super,right,2026-04-21T13:20:17+00:00
wonsuk,seed_00027__nemotron-nano__vs__nemotron-super,seed_00027,nemotron-super,nemotron-nano,right,2026-04-21T13:20:18+00:00
Hongjoon,seed_00006__glm-5.1__vs__nemotron-super,seed_00006,nemotron-super,glm-5.1,left,2026-04-21T13:20:26+00:00
wonsuk,seed_00013__gpt-5.4__vs__nemotron-super,seed_00013,nemotron-super,gpt-5.4,right,2026-04-21T13:20:26+00:00
wonsuk,seed_00009__glm-5.1__vs__gpt-5.4,seed_00009,gpt-5.4,glm-5.1,left,2026-04-21T13:20:39+00:00
Hongjoon,seed_00012__gpt-5.4__vs__nemotron-nano,seed_00012,gpt-5.4,nemotron-nano,right,2026-04-21T13:20:41+00:00
juyoung,seed_00022__gpt-5.4__vs__nemotron-nano,seed_00022,gpt-5.4,nemotron-nano,left,2026-04-21T13:20:46+00:00
juyoung,seed_00021__gpt-5.4__vs__nemotron-nano,seed_00021,gpt-5.4,nemotron-nano,left,2026-04-21T13:20:47+00:00
wonsuk_homunculus,seed_00021__nemotron-nano__vs__nemotron-super,seed_00021,nemotron-nano,nemotron-super,right,2026-04-21T13:20:48+00:00
